??|??|??|Bengali Romanized|77000|0.0260935307359765
chp|??|Chipewyan; Dene Suline|??|??|??
chr|??|Cherokee|??|??|??
chu|cu|Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic|??|??|??
chv|cv|Chuvash|??|??|??
chy|??|Cheyenne|??|??|??
cmc|??|Chamic languages|??|??|??
cnr|??|Montenegrin|??|??|??
cop|??|Coptic|??|??|??
cor|kw|Cornish|??|??|??
cos|co|Corsican|??|??|??
cpe|??|Creoles and pidgins, English based|??|??|??
cpf|??|Creoles and pidgins, French-based|??|??|??
cpp|??|Creoles and pidgins, Portuguese-based|??|??|??
cre|cr|Cree|??|??|??
crh|??|Crimean Tatar; Crimean Turkish|??|??|??
crp|??|Creoles and pidgins|??|??|??
csb|??|Kashubian|??|??|??
cus|??|Cushitic languages|??|??|??
cze|cs|Czech|Czech|2498000|0.846514802317783
dak|??|Dakota|??|??|??
dan|da|Danish|Danish|7823000|2.6510349473707
dar|??|Dargwa|??|??|??
day|??|Land Dayak languages|??|??|??
del|??|Delaware|??|??|??
den|??|Slave (Athapascan)|??|??|??
dgr|??|Dogrib|??|??|??
din|??|Dinka|??|??|??
div|dv|Divehi; Dhivehi; Maldivian|??|??|??
doi|??|Dogri|??|??|??
dra|??|Dravidian languages|??|??|??
dsb|??|Lower Sorbian|??|??|??
dua|??|Duala|??|??|??
dum|??|Dutch, Middle (ca.1050-1350)|??|??|??
dut|nl|Dutch; Flemish|Dutch|5025000|1.70285703828938
dyu|??|Dyula|??|??|??
dzo|dz|Dzongkha|??|??|??
efi|??|Efik|??|??|??
egy|??|Egyptian (Ancient)|??|??|??
eka|??|Ekajuk|??|??|??
elx|??|Elamite|??|??|??
eng|en|English|English|55608000|18.8442734696907
enm|??|English, Middle (1100-1500)|??|??|??
epo|eo|Esperanto|Esperanto|157000|0.0532036925395885
est|et|Estonian|Estonian|843000|0.285673330005561
ewe|ee|Ewe|??|??|??
ewo|??|Ewondo|??|??|??
fan|??|Fang|??|??|??
fao|fo|Faroese|??|??|??
fat|??|Fanti|??|??|??
fij|fj|Fijian|??|??|??
fil|??|Filipino; Pilipino|??|??|??
fin|fi|Finnish|Finnish|6730000|2.28064236172886
fiu|??|Finno-Ugrian languages|??|??|??
fon|??|Fon|??|??|??
fre|fr|French|French|9780000|3.31421728049156
frm|??|French, Middle (ca.1400-1600)|??|??|??
fro|??|French, Old (842-ca.1400)|??|??|??
frr|??|Northern Frisian|??|??|??
frs|??|Eastern Frisian|??|??|??
fry|fy|Western Frisian|Western Frisian|29000|0.00982743365380933
ful|ff|Fulah|??|??|??
fur|??|Friulian|??|??|??
gaa|??|Ga|??|??|??
gay|??|Gayo|??|??|??
gba|??|Gbaya|??|??|??
gem|??|Germanic languages|??|??|??
geo|ka|Georgian|Georgian|469000|0.158933323573675
ger|de|German|German|10297000|3.4894167011474
gez|??|Geez|??|??|??
gil|??|Gilbertese|??|??|??
gla|gd|Gaelic; Scottish Gaelic|Scottish Gaelic|21000|0.00711641747344814
gle|ga|Irish|Irish|86000|0.0291434239388829
glg|gl|Galician|Galician|495000|0.167744126159849
glv|gv|Manx|??|??|??
gmh|??|German, Middle High (ca.1050-1500)|??|??|??
goh|??|German, Old High (ca.750-1050)|??|??|??
gon|??|Gondi|??|??|??
gor|??|Gorontalo|??|??|??
got|??|Gothic|??|??|??
grb|??|Grebo|??|??|??
grc|??|Greek, Ancient (to 1453)|??|??|??
gre|el|Greek, Modern (1453-)|Greek|4285000|1.45208804160597
grn|gn|Guarani|??|??|??
gsw|??|Swiss German; Alemannic; Alsatian|??|??|??
guj|gu|Gujarati|Gujarati|140000|0.0474427831563209
gwi|??|Gwich'in|??|??|??
hai|??|Haida|??|??|??
hat|ht|Haitian; Haitian Creole|??|??|??
hau|ha|Hausa|Hausa|56000|0.0189771132625284
haw|??|Hawaiian|??|??|??
heb|he|Hebrew|Hebrew|3399000|1.15184299963096
her|hz|Herero|??|??|??
hil|??|Hiligaynon|??|??|??
him|??|Himachali languages; Western Pahari languages|??|??|??
hin|hi|Hindi|Hindi|1715000|0.581174093664931
hit|??|Hittite|??|??|??
hmn|??|Hmong; Mong|??|??|??
hmo|ho|Hiri Motu|??|??|??
hrv|hr|Croatian|Croatian|3297000|1.11727754333136
hsb|??|Upper Sorbian|??|??|??
hun|hu|Hungarian|Hungarian|7807000|2.64561291500998
hup|??|Hupa|??|??|??
iba|??|Iban|??|??|??
ibo|ig|Igbo|??|??|??
ice|is|Icelandic|Icelandic|505000|0.1711328963853
ido|io|Ido|??|??|??
iii|ii|Sichuan Yi; Nuosu|??|??|??
ijo|??|Ijo languages|??|??|??
iku|iu|Inuktitut|??|??|??
ile|ie|Interlingue; Occidental|??|??|??
ilo|??|Iloko|??|??|??
ina|ia|Interlingua (International Auxiliary Language Association)|??|??|??
inc|??|Indic languages|??|??|??
ind|id|Indonesian|Indonesian|22704000|7.69386391986507
ine|??|Indo-European languages|??|??|??
inh|??|Ingush|??|??|??
ipk|ik|Inupiaq|??|??|??
ira|??|Iranian languages|??|??|??
iro|??|Iroquoian languages|??|??|??
ita|it|Italian|Italian|4983000|1.68862420334248
jav|jv|Javanese|Javanese|24000|0.00813304854108359
jbo|??|Lojban|??|??|??
jpn|ja|Japanese|Japanese|530000|0.179604821948929
jpr|??|Judeo-Persian|??|??|??
jrb|??|Judeo-Arabic|??|??|??
kaa|??|Kara-Kalpak|??|??|??
kab|??|Kabyle|??|??|??
kac|??|Kachin; Jingpho|??|??|??
kal|kl|Kalaallisut; Greenlandic|??|??|??
kam|??|Kamba|??|??|??
kan|kn|Kannada|Kannada|169000|0.0572702168101303
kar|??|Karen languages|??|??|??
kas|ks|Kashmiri|??|??|??
kau|kr|Kanuri|??|??|??
kaw|??|Kawi|??|??|??
kaz|kk|Kazakh|Kazakh|476000|0.161305462731491
kbd|??|Kabardian|??|??|??
kha|??|Khasi|??|??|??
khi|??|Khoisan languages|??|??|??
khm|km|Central Khmer|Khmer|36000|0.0121995728116254
kho|??|Khotanese; Sakan|??|??|??
kik|ki|Kikuyu; Gikuyu|??|??|??
kin|rw|Kinyarwanda|??|??|??
kir|ky|Kirghiz; Kyrgyz|Kyrgyz|94000|0.031854440119244
kmb|??|Kimbundu|??|??|??
kok|??|Konkani|??|??|??
kom|kv|Komi|??|??|??
kon|kg|Kongo|??|??|??
kor|ko|Korean|Korean|5644000|1.91262191524482
kos|??|Kosraean|??|??|??
kpe|??|Kpelle|??|??|??
krc|??|Karachay-Balkar|??|??|??
krl|??|Karelian|??|??|??
kro|??|Kru languages|??|??|??
kru|??|Kurukh|??|??|??
kua|kj|Kuanyama; Kwanyama|??|??|??
kum|??|Kumyk|??|??|??
kur|ku|Kurdish|Kurdish (Kurmanji)|66000|0.0223658834879799
kut|??|Kutenai|??|??|??
lad|??|Ladino|??|??|??
lah|??|Lahnda|??|??|??
lam|??|Lamba|??|??|??
lao|lo|Lao|Lao|17000|0.00576090938326754
lat|la|Latin|Latin|390000|0.132162038792608
lav|lv|Latvian|Latvian|1198000|0.405974673009089
lez|??|Lezghian|??|??|??
lim|li|Limburgan; Limburger; Limburgish|??|??|??
lin|ln|Lingala|??|??|??
lit|lt|Lithuanian|Lithuanian|1835000|0.621839336370349
lol|??|Mongo|??|??|??
loz|??|Lozi|??|??|??
ltz|lb|Luxembourgish; Letzeburgesch|??|??|??
lua|??|Luba-Lulua|??|??|??
lub|lu|Luba-Katanga|??|??|??
lug|lg|Ganda|??|??|??
lui|??|Luiseno|??|??|??
lun|??|Lunda|??|??|??
luo|??|Luo (Kenya and Tanzania)|??|??|??
lus|??|Lushai|??|??|??
mac|mk|Macedonian|Macedonian|449000|0.152155783122772
mad|??|Madurese|??|??|??
mag|??|Magahi|??|??|??
mah|mh|Marshallese|??|??|??
mai|??|Maithili|??|??|??
mak|??|Makasar|??|??|??
mal|ml|Malayalam|Malayalam|313000|0.106068508056632
man|??|Mandingo|??|??|??
mao|mi|Maori|??|??|??
map|??|Austronesian languages|??|??|??
mar|mr|Marathi|Marathi|175000|0.0593034789454012
mas|??|Masai|??|??|??
may|ms|Malay|Malay|1318000|0.446639915714507
mdf|??|Moksha|??|??|??
mdr|??|Mandar|??|??|??
men|??|Mende|??|??|??
mga|??|Irish, Middle (900-1200)|??|??|??
mic|??|Mi'kmaq; Micmac|??|??|??
min|??|Minangkabau|??|??|??
mis|??|Uncoded languages|??|??|??
mkh|??|Mon-Khmer languages|??|??|??
mlg|mg|Malagasy|Malagasy|25000|0.00847192556362874
mlt|mt|Maltese|??|??|??
mnc|??|Manchu|??|??|??
mni|??|Manipuri|??|??|??
mno|??|Manobo languages|??|??|??
moh|??|Mohawk|??|??|??
mon|mn|Mongolian|Mongolian|248000|0.0840415015911971
mos|??|Mossi|??|??|??
mul|??|Multiple languages|??|??|??
mun|??|Munda languages|??|??|??
mus|??|Creek|??|??|??
mwl|??|Mirandese|??|??|??
mwr|??|Marwari|??|??|??
myn|??|Mayan languages|??|??|??
myv|??|Erzya|??|??|??
nah|??|Nahuatl languages|??|??|??
nai|??|North American Indian languages|??|??|??
nap|??|Neapolitan|??|??|??
nau|na|Nauru|??|??|??
nav|nv|Navajo; Navaho|??|??|??
nbl|nr|Ndebele, South; South Ndebele|??|??|??
nde|nd|Ndebele, North; North Ndebele|??|??|??
ndo|ng|Ndonga|??|??|??
nds|??|Low German; Low Saxon; German, Low; Saxon, Low|??|??|??
nep|ne|Nepali|Nepali|237000|0.0803138543432004
new|??|Nepal Bhasa; Newari|??|??|??
nia|??|Nias|??|??|??
nic|??|Niger-Kordofanian languages|??|??|??
niu|??|Niuean|??|??|??
nno|nn|Norwegian Nynorsk; Nynorsk, Norwegian|??|??|??
nob|nb|Bokmål, Norwegian; Norwegian Bokmål|??|??|??
nog|??|Nogai|??|??|??
non|??|Norse, Old|??|??|??
nor|no|Norwegian|Norwegian|8494000|2.8784214294985
nqo|??|N'Ko|??|??|??
nso|??|Pedi; Sepedi; Northern Sotho|??|??|??
nub|??|Nubian languages|??|??|??
nwc|??|Classical Newari; Old Newari; Classical Nepal Bhasa|??|??|??
nya|ny|Chichewa; Chewa; Nyanja|??|??|??
nym|??|Nyamwezi|??|??|??
nyn|??|Nyankole|??|??|??
nyo|??|Nyoro|??|??|??
nzi|??|Nzima|??|??|??
oci|oc|Occitan (post 1500)|??|??|??
oji|oj|Ojibwa|??|??|??
ori|or|Oriya|Oriya|36000|0.0121995728116254
orm|om|Oromo|Oromo|8000|0.0027110161803612
osa|??|Osage|??|??|??
oss|os|Ossetian; Ossetic|??|??|??
ota|??|Turkish, Ottoman (1500-1928)|??|??|??
oto|??|Otomian languages|??|??|??
paa|??|Papuan languages|??|??|??
pag|??|Pangasinan|??|??|??
pal|??|Pahlavi|??|??|??
pam|??|Pampanga; Kapampangan|??|??|??
pan|pa|Panjabi; Punjabi|Punjabi|68000|0.0230436375330702
pap|??|Papiamento|??|??|??
pau|??|Palauan|??|??|??
peo|??|Persian, Old (ca.600-400 B.C.)|??|??|??
per|fa|Persian|Persian|13259000|4.49317044192614
phi|??|Philippine languages|??|??|??
phn|??|Phoenician|??|??|??
pli|pi|Pali|??|??|??
pol|pl|Polish|Polish|6490000|2.19931187631802
pon|??|Pohnpeian|??|??|??
por|pt|Portuguese|Portuguese|8405000|2.84826137449198
pra|??|Prakrit languages|??|??|??
pro|??|Provençal, Old (to 1500); Occitan, Old (to 1500)|??|??|??
pus|ps|Pushto; Pashto|Pashto|96000|0.0325321941643343
qaa-qtz|??|Reserved for local use|??|??|??
que|qu|Quechua|??|??|??
raj|??|Rajasthani|??|??|??
rap|??|Rapanui|??|??|??
rar|??|Rarotongan; Cook Islands Maori|??|??|??
roa|??|Romance languages|??|??|??
roh|rm|Romansh|??|??|??
rom|??|Romany|??|??|??
rum|ro|Romanian; Moldavian; Moldovan|Romanian|10354000|3.50873269143248
run|rn|Rundi|??|??|??
rup|??|Aromanian; Arumanian; Macedo-Romanian|??|??|??
rus|ru|Russian|Russian|23408000|7.93243334373686
sad|??|Sandawe|??|??|??
sag|sg|Sango|??|??|??
sah|??|Yakut|??|??|??
sai|??|South American Indian languages|??|??|??
sal|??|Salishan languages|??|??|??
sam|??|Samaritan Aramaic|??|??|??
san|sa|Sanskrit|Sanskrit|17000|0.00576090938326754
sas|??|Sasak|??|??|??
sat|??|Santali|??|??|??
scn|??|Sicilian|??|??|??
sco|??|Scots|??|??|??
sel|??|Selkup|??|??|??
sem|??|Semitic languages|??|??|??
sga|??|Irish, Old (to 900)|??|??|??
sgn|??|Sign Languages|??|??|??
shn|??|Shan|??|??|??
sid|??|Sidamo|??|??|??
sin|si|Sinhala; Sinhalese|Sinhala|243000|0.0823471164784713
sio|??|Siouan languages|??|??|??
sit|??|Sino-Tibetan languages|??|??|??
sla|??|Slavic languages|??|??|??
slo|sk|Slovak|Slovak|3525000|1.19454150447165
slv|sl|Slovenian|Slovenian|1669000|0.565585750627854
sma|??|Southern Sami|??|??|??
sme|se|Northern Sami|??|??|??
smi|??|Sami languages|??|??|??
smj|??|Lule Sami|??|??|??
smn|??|Inari Sami|??|??|??
smo|sm|Samoan|??|??|??
sms|??|Skolt Sami|??|??|??
sna|sn|Shona|??|??|??
snd|sd|Sindhi|Sindhi|50000|0.0169438511272575
snk|??|Soninke|??|??|??
sog|??|Sogdian|??|??|??
som|so|Somali|Somali|62000|0.0210103753977993
son|??|Songhai languages|??|??|??
sot|st|Sotho, Southern|??|??|??
spa|es|Spanish; Castilian|Spanish|9374000|3.17663320933823
srd|sc|Sardinian|??|??|??
srn|??|Sranan Tongo|??|??|??
srp|sr|Serbian|Serbian|843000|0.285673330005561
srr|??|Serer|??|??|??
ssa|??|Nilo-Saharan languages|??|??|??
ssw|ss|Swati|??|??|??
suk|??|Sukuma|??|??|??
sun|su|Sundanese|Sundanese|10000|0.00338877022545149
sus|??|Susu|??|??|??
sux|??|Sumerian|??|??|??
swa|sw|Swahili|Swahili|275000|0.0931911811999161
swe|sv|Swedish|Swedish|77800|0.0263646323540126
syc|??|Classical Syriac|??|??|??
syr|??|Syriac|??|??|??
tah|ty|Tahitian|??|??|??
tai|??|Tai languages|??|??|??
tam|ta|Tamil|Tamil|595000|0.201631828414364
tat|tt|Tatar|??|??|??
tel|te|Telugu|Telugu|249000|0.0843803786137422
tem|??|Timne|??|??|??
ter|??|Tereno|??|??|??
tet|??|Tetum|??|??|??
tgk|tg|Tajik|??|??|??
tgl|tl|Tagalog|Filipino|556000|0.188415624535103
tha|th|Thai|Thai|1834000|0.621500459347804
tib|bo|Tibetan|??|??|??
tig|??|Tigre|??|??|??
tir|ti|Tigrinya|??|??|??
tiv|??|Tiv|??|??|??
tkl|??|Tokelau|??|??|??
tlh|??|Klingon; tlhIngan-Hol|??|??|??
tli|??|Tlingit|??|??|??
tmh|??|Tamashek|??|??|??
tog|??|Tonga (Nyasa)|??|??|??
ton|to|Tonga (Tonga Islands)|??|??|??
tpi|??|Tok Pisin|??|??|??
tsi|??|Tsimshian|??|??|??
tsn|tn|Tswana|??|??|??
tso|ts|Tsonga|??|??|??
tuk|tk|Turkmen|??|??|??
tum|??|Tumbuka|??|??|??
tup|??|Tupi languages|??|??|??
tur|tr|Turkish|Turkish|2736000|0.927167533683529
tut|??|Altaic languages|??|??|??
tvl|??|Tuvalu|??|??|??
twi|tw|Twi|??|??|??
tyv|??|Tuvinian|??|??|??
udm|??|Udmurt|??|??|??
uga|??|Ugaritic|??|??|??
uig|ug|Uighur; Uyghur|Uyghur|27000|0.00914967960871903
ukr|uk|Ukrainian|Ukrainian|6500|0.00220270064654347
umb|??|Umbundu|??|??|??
und|??|Undetermined|??|??|??
urd|ur|Urdu|Urdu|730000|0.247380226457959
uzb|uz|Uzbek|Uzbek|91000|0.0308378090516086
vai|??|Vai|??|??|??
ven|ve|Venda|??|??|??
vie|vi|Vietnamese|Vietnamese|24757000|8.38957844715026
vol|vo|Volapük|??|??|??
vot|??|Votic|??|??|??
wak|??|Wakashan languages|??|??|??
wal|??|Wolaitta; Wolaytta|??|??|??
war|??|Waray|??|??|??
was|??|Washo|??|??|??
wel|cy|Welsh|Welsh|141000|0.0477816601788661
wen|??|Sorbian languages|??|??|??
wln|wa|Walloon|??|??|??
wol|wo|Wolof|??|??|??
xal|??|Kalmyk; Oirat|??|??|??
xho|xh|Xhosa|Xhosa|13000|0.00440540129308694
yao|??|Yao|??|??|??
yap|??|Yapese|??|??|??
yid|yi|Yiddish|Yiddish|34000|0.0115218187665351
yor|yo|Yoruba|??|??|??
ypk|??|Yupik languages|??|??|??
zap|??|Zapotec|??|??|??
zbl|??|Blissymbols; Blissymbolics; Bliss|??|??|??
zen|??|Zenaga|??|??|??
zgh|??|Standard Moroccan Tamazight|??|??|??
zha|za|Zhuang; Chuang|??|??|??
znd|??|Zande languages|??|??|??
zul|zu|Zulu|??|??|??
zun|??|Zuni|??|??|??
zxx|??|No linguistic content; Not applicable|??|??|??
zza|??|Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki|??|??|??
﻿aar|aa|Afar|??|??|??
