??|??|Bengali Romanized|-|166000|0,9980587756813
hup|??|Hupa|??|??|??
iba|??|Iban|??|??|??
ibo|ig|Igbo|ig|18000|0,108223240736526
ice|is|Icelandic|is|1163,000|0,00699242383203224
ido|io|Ido|??|??|??
iii|ii|Sichuan Yi; Nuosu|??|??|??
ijo|??|Ijo languages|??|??|??
iku|iu|Inuktitut|iu|6000|0,0360744135788422
ile|ie|Interlingue; Occidental|??|??|??
ilo|??|Iloko|??|??|??
ina|ia|Interlingua (International Auxiliary Language Association)|??|??|??
inc|??|Indic languages|??|??|??
ind|id|Indonesian|id|15424,000|0,0927352925066769
ine|??|Indo-European languages|??|??|??
inh|??|Ingush|??|??|??
ipk|ik|Inupiaq|??|??|??
ira|??|Iranian languages|??|??|??
iro|??|Iroquoian languages|??|??|??
ita|it|Italian|it|41930,000|0,252100026893475
jav|jv|Javanese|jv|389000|2,3388244803616
jbo|??|Lojban|??|??|??
jpn|ja|Japanese|ja|66054,000|0,397143219089473
jpr|??|Judeo-Persian|??|??|??
jrb|??|Judeo-Arabic|??|??|??
kaa|??|Kara-Kalpak|??|??|??
kab|??|Kabyle|??|??|??
kac|??|Kachin; Jingpho|??|??|??
kal|kl|Kalaallisut; Greenlandic|??|??|??
kam|??|Kamba|??|??|??
kan|kn|Kannada|kn|446000|2,6815314093606
kar|??|Karen languages|??|??|??
kas|ks|Kashmiri|??|??|??
kau|kr|Kanuri|??|??|??
kaw|??|Kawi|??|??|??
kaz|kk|Kazakh|kk|1278,000|0,00768385009229338
kbd|??|Kabardian|??|??|??
kha|??|Khasi|??|??|??
khi|??|Khoisan languages|??|??|??
khm|km|Central Khmer|km|272000|1,63537341557418
kho|??|Khotanese; Sakan|??|??|??
kik|ki|Kikuyu; Gikuyu|??|??|??
kin|rw|Kinyarwanda|??|??|??
kir|ky|Kirghiz; Kyrgyz|ky|70000|0,420868158419825
kmb|??|Kimbundu|??|??|??
kok|??|Konkani|??|??|??
kom|kv|Komi|??|??|??
kon|kg|Kongo|kg|4000|0,0240496090525614
kor|ko|Korean|ko|20002,000|0,120260070067333
kos|??|Kosraean|??|??|??
kpe|??|Kpelle|??|??|??
krc|??|Karachay-Balkar|??|??|??
krl|??|Karelian|??|??|??
kro|??|Kru languages|??|??|??
kru|??|Kurukh|??|??|??
kua|kj|Kuanyama; Kwanyama|??|??|??
kum|??|Kumyk|??|??|??
kur|ku|Kurdish|ku|36000|0,216446481473053
kut|??|Kutenai|??|??|??
lad|??|Ladino|??|??|??
lah|??|Lahnda|??|??|??
lam|??|Lamba|??|??|??
lao|lo|Lao|lo|84000|0,50504179010379
lat|la|Latin|la|635000|3,81787543709413
lav|lv|Latvian|lv|2815,000|0,0169249123707401
lez|??|Lezghian|??|??|??
lim|li|Limburgan; Limburger; Limburgish|??|??|??
lin|ln|Lingala|ln|7000|0,0420868158419825
lit|lt|Lithuanian|lt|4847,000|0,0291421137694413
lol|??|Mongo|??|??|??
loz|??|Lozi|??|??|??
ltz|lb|Luxembourgish; Letzeburgesch|??|??|??
lua|??|Luba-Lulua|??|??|??
lub|lu|Luba-Katanga|??|??|??
lug|lg|Ganda|lg|15000|0,0901860339471054
lui|??|Luiseno|??|??|??
lun|??|Lunda|??|??|??
luo|??|Luo (Kenya and Tanzania)|??|??|??
lus|??|Lushai|??|??|??
mac|mk|Macedonian|mk|927000|5,57349689793111
mad|??|Madurese|??|??|??
mag|??|Magahi|??|??|??
mah|mh|Marshallese|??|??|??
mai|??|Maithili|??|??|??
mak|??|Makasar|??|??|??
mal|ml|Malayalam|ml|935000|5,62159611603624
man|??|Mandingo|??|??|??
mao|mi|Maori|??|??|??
map|??|Austronesian languages|??|??|??
mar|mr|Marathi|mr|458000|2,75368023651829
mas|??|Masai|??|??|??
may|ms|Malay|ms|9106,000|0,0547489350081561
mdf|??|Moksha|??|??|??
mdr|??|Mandar|??|??|??
men|??|Mende|??|??|??
mga|??|Irish, Middle (900-1200)|??|??|??
mic|??|Mi'kmaq; Micmac|??|??|??
min|??|Minangkabau|??|??|??
mis|??|Uncoded languages|??|??|??
mkh|??|Mon-Khmer languages|??|??|??
mlg|mg|Malagasy|mg|116000|0,697438662524282
mlt|mt|Maltese|??|??|??
mnc|??|Manchu|??|??|??
mni|??|Manipuri|??|??|??
mno|??|Manobo languages|??|??|??
moh|??|Mohawk|??|??|??
mon|mn|Mongolian|mn|681000|4,09444594119859
mos|??|Mossi|??|??|??
mul|??|Multiple languages|??|??|??
mun|??|Munda languages|??|??|??
mus|??|Creek|??|??|??
mwl|??|Mirandese|??|??|??
mwr|??|Marwari|??|??|??
myn|??|Mayan languages|??|??|??
myv|??|Erzya|??|??|??
nah|??|Nahuatl languages|??|??|??
nai|??|North American Indian languages|??|??|??
nap|??|Neapolitan|??|??|??
nau|na|Nauru|??|??|??
nav|nv|Navajo; Navaho|??|??|??
nbl|nr|Ndebele, South; South Ndebele|??|??|??
nde|nd|Ndebele, North; North Ndebele|??|??|??
ndo|ng|Ndonga|??|??|??
nds|??|Low German; Low Saxon; German, Low; Saxon, Low|??|??|??
nep|ne|Nepali|ne|600000|3,60744135788422
new|??|Nepal Bhasa; Newari|??|??|??
nia|??|Nias|??|??|??
nic|??|Niger-Kordofanian languages|??|??|??
niu|??|Niuean|??|??|??
nno|nn|Norwegian Nynorsk; Nynorsk, Norwegian|??|??|??
nob|nb|Bokmål, Norwegian; Norwegian Bokmål|??|??|??
nog|??|Nogai|??|??|??
non|??|Norse, Old|??|??|??
nor|no|Norwegian|no|17600,000|0,10581827983127
nqo|??|N'Ko|??|??|??
nso|??|Pedi; Sepedi; Northern Sotho|??|??|??
nub|??|Nubian languages|??|??|??
nwc|??|Classical Newari; Old Newari; Classical Nepal Bhasa|??|??|??
nya|ny|Chichewa; Chewa; Nyanja|??|??|??
nym|??|Nyamwezi|??|??|??
nyn|??|Nyankole|??|??|??
nyo|??|Nyoro|??|??|??
nzi|??|Nzima|??|??|??
oci|oc|Occitan (post 1500)|??|??|??
oji|oj|Ojibwa|??|??|??
ori|or|Oriya|or|91000|0,547128605945773
orm|om|Oromo|om|27000|0,16233486110479
osa|??|Osage|??|??|??
oss|os|Ossetian; Ossetic|??|??|??
ota|??|Turkish, Ottoman (1500-1928)|??|??|??
oto|??|Otomian languages|??|??|??
paa|??|Papuan languages|??|??|??
pag|??|Pangasinan|??|??|??
pal|??|Pahlavi|??|??|??
pam|??|Pampanga; Kapampangan|??|??|??
pan|pa|Panjabi; Punjabi|pa|153000|0,919897546260475
pap|??|Papiamento|??|??|??
pau|??|Palauan|??|??|??
peo|??|Persian, Old (ca.600-400 B.C.)|??|??|??
per|fa|Persian|fa|9355,000|0,0562460231716781
phi|??|Philippine languages|??|??|??
phn|??|Phoenician|??|??|??
pli|pi|Pali|??|??|??
pol|pl|Polish|pl|19293,000|0,115997276862767
pon|??|Pohnpeian|??|??|??
por|pt|Portuguese|pt|36586,000|0,219969749199253
pra|??|Prakrit languages|??|??|??
pro|??|Provençal, Old (to 1500); Occitan, Old (to 1500)|??|??|??
pus|ps|Pushto; Pashto|ps|387000|2,32679967583532
qaa-qtz|??|Reserved for local use|??|??|??
que|qu|Quechua|qu|3000|0,0180372067894211
raj|??|Rajasthani|??|??|??
rap|??|Rapanui|??|??|??
rar|??|Rarotongan; Cook Islands Maori|??|??|??
roa|??|Romance languages|??|??|??
roh|rm|Romansh|??|??|??
rom|??|Romany|??|??|??
rum|ro|Romanian; Moldavian; Moldovan|ro|24176,000|0,145355837113681
run|rn|Rundi|??|??|??
rup|??|Aromanian; Arumanian; Macedo-Romanian|??|??|??
rus|ru|Russian|ru|147792,000|0,88858495527404
sad|??|Sandawe|??|??|??
sag|sg|Sango|??|??|??
sah|??|Yakut|??|??|??
sai|??|South American Indian languages|??|??|??
sal|??|Salishan languages|??|??|??
sam|??|Samaritan Aramaic|??|??|??
san|sa|Sanskrit|sa|107000|0,643327042156019
sas|??|Sasak|??|??|??
sat|??|Santali|??|??|??
scn|??|Sicilian|??|??|??
sco|??|Scots|??|??|??
sel|??|Selkup|??|??|??
sem|??|Semitic languages|??|??|??
sga|??|Irish, Old (to 900)|??|??|??
sgn|??|Sign Languages|??|??|??
shn|??|Shan|??|??|??
sid|??|Sidamo|??|??|??
sin|si|Sinhala; Sinhalese|si|524000|3,15049878588555
sio|??|Siouan languages|??|??|??
sit|??|Sino-Tibetan languages|??|??|??
sla|??|Slavic languages|??|??|??
slo|sk|Slovak|sk|8251,000|0,0496083310731711
slv|sl|Slovenian|sl|4029,000|0,0242239687181925
sma|??|Southern Sami|??|??|??
sme|se|Northern Sami|??|??|??
smi|??|Sami languages|??|??|??
smj|??|Lule Sami|??|??|??
smn|??|Inari Sami|??|??|??
smo|sm|Samoan|??|??|??
sms|??|Skolt Sami|??|??|??
sna|sn|Shona|??|??|??
snd|sd|Sindhi|sd|8000|0,0480992181051229
snk|??|Soninke|??|??|??
sog|??|Sogdian|??|??|??
som|so|Somali|so|436000|2,6214073867292
son|??|Songhai languages|??|??|??
sot|st|Sotho, Southern|??|??|??
spa|es|Spanish; Castilian|es|87303,000|0,524900754778943
srd|sc|Sardinian|??|??|??
srn|??|Sranan Tongo|??|??|??
srp|sr|Serbian|sr|2101,000|0,0126320571548579
srr|??|Serer|??|??|??
ssa|??|Nilo-Saharan languages|??|??|??
ssw|ss|Swati|ss|2000|0,0120248045262807
suk|??|Sukuma|??|??|??
sun|su|Sundanese|su|91000|0,547128605945773
sus|??|Susu|??|??|??
sux|??|Sumerian|??|??|??
swa|sw|Swahili|sw|908000|5,45926125493145
swe|sv|Swedish|sv|9169,000|0,055127716350734
syc|??|Classical Syriac|??|??|??
syr|??|Syriac|??|??|??
tah|ty|Tahitian|??|??|??
tai|??|Tai languages|??|??|??
tam|ta|Tamil|ta|1477,000|0,00888031814265831
tat|tt|Tatar|??|??|??
tel|te|Telugu|te|689000|4,14254515930371
tem|??|Timne|??|??|??
ter|??|Tereno|??|??|??
tet|??|Tetum|??|??|??
tgk|tg|Tajik|??|??|??
tgl|tl|Tagalog|tl|2389,000|0,0143636290066423
tha|th|Thai|th|10842,000|0,0651864653369678
tib|bo|Tibetan|??|??|??
tig|??|Tigre|??|??|??
tir|ti|Tigrinya|ti|40000|0,240496090525614
tiv|??|Tiv|??|??|??
tkl|??|Tokelau|??|??|??
tlh|??|Klingon; tlhIngan-Hol|??|??|??
tli|??|Tlingit|??|??|??
tmh|??|Tamashek|??|??|??
tog|??|Tonga (Nyasa)|??|??|??
ton|to|Tonga (Tonga Islands)|??|??|??
tpi|??|Tok Pisin|??|??|??
tsi|??|Tsimshian|??|??|??
tsn|tn|Tswana|tn|11000|0,066136424894544
tso|ts|Tsonga|??|??|??
tuk|tk|Turkmen|??|??|??
tum|??|Tumbuka|??|??|??
tup|??|Tupi languages|??|??|??
tur|tr|Turkish|tr|12413,000|0,0746319492923613
tut|??|Altaic languages|??|??|??
tvl|??|Tuvalu|??|??|??
twi|tw|Twi|??|??|??
tyv|??|Tuvinian|??|??|??
udm|??|Udmurt|??|??|??
uga|??|Ugaritic|??|??|??
uig|ug|Uighur; Uyghur|??|??|??
ukr|uk|Ukrainian|uk|23723,000|0,142632218888479
umb|??|Umbundu|??|??|??
und|??|Undetermined|??|??|??
urd|ur|Urdu|ur|1352,000|0,00812876785976577
uzb|uz|Uzbek|uz|332000|1,9961175513626
vai|??|Vai|??|??|??
ven|ve|Venda|??|??|??
vie|vi|Vietnamese|vi|11199,000|0,0673328929449089
vol|vo|Volapük|??|??|??
vot|??|Votic|??|??|??
wak|??|Wakashan languages|??|??|??
wal|??|Wolaitta; Wolaytta|??|??|??
war|??|Waray|??|??|??
was|??|Washo|??|??|??
wel|cy|Welsh|cy|398000|2,39293610072986
wen|??|Sorbian languages|??|??|??
wln|wa|Walloon|??|??|??
wol|wo|Wolof|wo|14000|0,084173631683965
xal|??|Kalmyk; Oirat|??|??|??
xho|xh|Xhosa|xh|26000|0,156322458841649
yao|??|Yao|??|??|??
yap|??|Yapese|??|??|??
yid|yi|Yiddish|??|??|??
yor|yo|Yoruba|yo|48000|0,288595308630737
ypk|??|Yupik languages|??|??|??
zap|??|Zapotec|??|??|??
zbl|??|Blissymbols; Blissymbolics; Bliss|??|??|??
zen|??|Zenaga|??|??|??
zgh|??|Standard Moroccan Tamazight|??|??|??
zha|za|Zhuang; Chuang|??|??|??
znd|??|Zande languages|??|??|??
zul|zu|Zulu|zu|40000|0,240496090525614
zun|??|Zuni|??|??|??
zxx|??|No linguistic content; Not applicable|??|??|??
zza|??|Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki|??|??|??
﻿aar|aa|Afar|??|??|??
