heb|he|Hebrew|??|??|??
hin|hi|Hindi|hi|9434632|0.00483%
hmn|??|Hmong; Mong|hmn|175972|0.00009%
hmo|ho|Hiri Motu|??|??|??
hrv|hr|Croatian|hr|101613675|0.05201%
hat|ht|Haitian; Haitian Creole|ht|430911|0.00022%
hun|hu|Hungarian|hu|127224375|0.06512%
arm|hy|Armenian|hy|840171|0.00043%
her|hz|Herero|??|??|??
ina|ia|Interlingua (International Auxiliary Language Association)|??|??|??
ind|id|Indonesian|id|116930321|0.05985%
ile|ie|Interlingue; Occidental|??|??|??
ibo|ig|Igbo|??|??|??
iii|ii|Sichuan Yi; Nuosu|??|??|??
ipk|ik|Inupiaq|??|??|??
ido|io|Ido|??|??|??
ice|is|Icelandic|is|12792837|0.00655%
ita|it|Italian|it|1187784217|0.60793%
iku|iu|Inuktitut|iu|31142|0.00002%
??|??|??|iw|15027640|0.00769%
jpn|ja|Japanese|ja|217047918|0.11109%
jav|jv|Javanese|??|??|??
??|??|??|jw|6604056|0.00338%
geo|ka|Georgian|ka|924256|0.00047%
kon|kg|Kongo|??|??|??
kik|ki|Kikuyu; Gikuyu|??|??|??
kua|kj|Kuanyama; Kwanyama|??|??|??
kaz|kk|Kazakh|kk|670231|0.00034%
kal|kl|Kalaallisut; Greenlandic|??|??|??
khm|km|Central Khmer|km|1041164|0.00053%
kan|kn|Kannada|kn|1913389|0.00098%
kor|ko|Korean|ko|33147663|0.01697%
kau|kr|Kanuri|??|??|??
kas|ks|Kashmiri|??|??|??
kur|ku|Kurdish|ku|1091032|0.00056%
kom|kv|Komi|??|??|??
cor|kw|Cornish|??|??|??
kir|ky|Kirghiz; Kyrgyz|ky|91289|0.00005%
lat|la|Latin|??|??|??
ltz|lb|Luxembourgish; Letzeburgesch|??|??|??
lug|lg|Ganda|lg|261217|0.00013%
lim|li|Limburgan; Limburger; Limburgish|??|??|??
lin|ln|Lingala|??|??|??
lao|lo|Lao|lo|449476|0.00023%
lit|lt|Lithuanian|lt|12921255|0.00661%
lub|lu|Luba-Katanga|??|??|??
lav|lv|Latvian|lv|13290098|0.00680%
mlg|mg|Malagasy|mg|507043|0.00026%
mah|mh|Marshallese|??|??|??
mao|mi|Maori|??|??|??
mac|mk|Macedonian|mk|529413|0.00027%
mal|ml|Malayalam|ml|3227746|0.00165%
mon|mn|Mongolian|mn|7779|0.00000%
mar|mr|Marathi|mr|3660217|0.00187%
may|ms|Malay|ms|13389340|0.00685%
mlt|mt|Maltese|mt|748610|0.00038%
bur|my|Burmese|my|1853421|0.00095%
nau|na|Nauru|??|??|??
nob|nb|Bokmål, Norwegian; Norwegian Bokmål|??|??|??
nde|nd|Ndebele, North; North Ndebele|??|??|??
nep|ne|Nepali|ne|1120450|0.00057%
ndo|ng|Ndonga|??|??|??
dut|nl|Dutch; Flemish|nl|669055061|0.34244%
nno|nn|Norwegian Nynorsk; Nynorsk, Norwegian|??|??|??
nor|no|Norwegian|no|212193299|0.10860%
nbl|nr|Ndebele, South; South Ndebele|??|??|??
nav|nv|Navajo; Navaho|??|??|??
nya|ny|Chichewa; Chewa; Nyanja|ny|161994|0.00008%
oci|oc|Occitan (post 1500)|??|??|??
oji|oj|Ojibwa|??|??|??
orm|om|Oromo|??|??|??
ori|or|Oriya|or|131688|0.00007%
oss|os|Ossetian; Ossetic|??|??|??
pan|pa|Panjabi; Punjabi|pa|703086|0.00036%
pli|pi|Pali|??|??|??
pol|pl|Polish|pl|303812362|0.15550%
pus|ps|Pushto; Pashto|??|??|??
por|pt|Portuguese|pt|1025413869|0.52483%
que|qu|Quechua|??|??|??
roh|rm|Romansh|??|??|??
run|rn|Rundi|??|??|??
rum|ro|Romanian; Moldavian; Moldovan|ro|308182352|0.15773%
rus|ru|Russian|ru|368157074|0.18843%
kin|rw|Kinyarwanda|rw|1430208|0.00073%
san|sa|Sanskrit|??|??|??
srd|sc|Sardinian|??|??|??
snd|sd|Sindhi|??|??|??
sme|se|Northern Sami|??|??|??
sag|sg|Sango|??|??|??
sin|si|Sinhala; Sinhalese|si|708343|0.00036%
slo|sk|Slovak|sk|27957963|0.01431%
slv|sl|Slovenian|sl|26037337|0.01333%
smo|sm|Samoan|??|??|??
sna|sn|Shona|??|??|??
som|so|Somali|??|??|??
alb|sq|Albanian|sq|9253803|0.00474%
srp|sr|Serbian|sr|52875283|0.02706%
ssw|ss|Swati|??|??|??
sot|st|Sotho, Southern|st|538257|0.00028%
sun|su|Sundanese|su|208819|0.00011%
swe|sv|Swedish|sv|220920577|0.11307%
swa|sw|Swahili|sw|585858|0.00030%
syr|??|Syriac|syr|21482|0.00001%
tam|ta|Tamil|ta|5163171|0.00264%
tel|te|Telugu|te|1638366|0.00084%
tgk|tg|Tajik|tg|210167|0.00011%
tha|th|Thai|th|26806557|0.01372%
tir|ti|Tigrinya|??|??|??
tuk|tk|Turkmen|??|??|??
tgl|tl|Tagalog|tl|8650331|0.00443%
tsn|tn|Tswana|??|??|??
ton|to|Tonga (Tonga Islands)|??|??|??
tur|tr|Turkish|tr|116141938|0.05944%
tso|ts|Tsonga|??|??|??
tat|tt|Tatar|??|??|??
twi|tw|Twi|??|??|??
tah|ty|Tahitian|??|??|??
uig|ug|Uighur; Uyghur|??|??|??
ukr|uk|Ukrainian|uk|14905898|0.00763%
urd|ur|Urdu|ur|689768|0.00035%
uzb|uz|Uzbek|uz|1458861|0.00075%
ven|ve|Venda|??|??|??
vie|vi|Vietnamese|vi|83077650|0.04252%
vol|vo|Volapük|??|??|??
wln|wa|Walloon|??|??|??
wol|wo|Wolof|??|??|??
xho|xh|Xhosa|??|??|??
yid|yi|Yiddish|yi|227609|0.00012%
yor|yo|Yoruba|??|??|??
zha|za|Zhuang; Chuang|??|??|??
chi|zh|Chinese|zh|193517396|0.09905%
??|??|??|zh-Hant|38583893|0.01975%
zul|zu|Zulu|??|??|??
ace|??|Achinese|??|??|??
ach|??|Acoli|??|??|??
ada|??|Adangme|??|??|??
ady|??|Adyghe; Adygei|??|??|??
afh|??|Afrihili|??|??|??
afa|??|Afro-Asiatic languages|??|??|??
ain|??|Ainu|??|??|??
akk|??|Akkadian|??|??|??
ale|??|Aleut|??|??|??
alg|??|Algonquian languages|??|??|??
tut|??|Altaic languages|??|??|??
anp|??|Angika|??|??|??
apa|??|Apache languages|??|??|??
arp|??|Arapaho|??|??|??
arw|??|Arawak|??|??|??
rup|??|Aromanian; Arumanian; Macedo-Romanian|??|??|??
art|??|Artificial languages|??|??|??
ast|??|Asturian; Bable; Leonese; Asturleonese|??|??|??
ath|??|Athapascan languages|??|??|??
aus|??|Australian languages|??|??|??
map|??|Austronesian languages|??|??|??
awa|??|Awadhi|??|??|??
ban|??|Balinese|??|??|??
bat|??|Baltic languages|??|??|??
bal|??|Baluchi|??|??|??
bai|??|Bamileke languages|??|??|??
bad|??|Banda languages|??|??|??
bnt|??|Bantu languages|??|??|??
bas|??|Basa|??|??|??
btk|??|Batak languages|??|??|??
bej|??|Beja; Bedawiyet|??|??|??
bem|??|Bemba|??|??|??
ber|??|Berber languages|??|??|??
bho|??|Bhojpuri|??|??|??
bik|??|Bikol|??|??|??
bin|??|Bini; Edo|??|??|??
byn|??|Blin; Bilin|??|??|??
zbl|??|Blissymbols; Blissymbolics; Bliss|??|??|??
bra|??|Braj|??|??|??
bug|??|Buginese|??|??|??
bua|??|Buriat|??|??|??
cad|??|Caddo|??|??|??
cau|??|Caucasian languages|??|??|??
cel|??|Celtic languages|??|??|??
cai|??|Central American Indian languages|??|??|??
chg|??|Chagatai|??|??|??
cmc|??|Chamic languages|??|??|??
chy|??|Cheyenne|??|??|??
chb|??|Chibcha|??|??|??
chn|??|Chinook jargon|??|??|??
chp|??|Chipewyan; Dene Suline|??|??|??
cho|??|Choctaw|??|??|??
chk|??|Chuukese|??|??|??
nwc|??|Classical Newari; Old Newari; Classical Nepal Bhasa|??|??|??
syc|??|Classical Syriac|??|??|??
cop|??|Coptic|??|??|??
mus|??|Creek|??|??|??
cpe|??|Creoles and pidgins, English based|??|??|??
cpf|??|Creoles and pidgins, French-based|??|??|??
cpp|??|Creoles and pidgins, Portuguese-based|??|??|??
crp|??|Creoles and pidgins|??|??|??
crh|??|Crimean Tatar; Crimean Turkish|??|??|??
cus|??|Cushitic languages|??|??|??
dak|??|Dakota|??|??|??
dar|??|Dargwa|??|??|??
del|??|Delaware|??|??|??
din|??|Dinka|??|??|??
dgr|??|Dogrib|??|??|??
doi|??|Dogri|??|??|??
dra|??|Dravidian languages|??|??|??
dua|??|Duala|??|??|??
dum|??|Dutch, Middle (ca.1050-1350)|??|??|??
dyu|??|Dyula|??|??|??
frs|??|Eastern Frisian|??|??|??
efi|??|Efik|??|??|??
egy|??|Egyptian (Ancient)|??|??|??
eka|??|Ekajuk|??|??|??
elx|??|Elamite|??|??|??
enm|??|English, Middle (1100-1500)|??|??|??
ang|??|English, Old (ca.450-1100)|??|??|??
myv|??|Erzya|??|??|??
ewo|??|Ewondo|??|??|??
fan|??|Fang|??|??|??
fat|??|Fanti|??|??|??
fil|??|Filipino; Pilipino|??|??|??
fiu|??|Finno-Ugrian languages|??|??|??
fon|??|Fon|??|??|??
frm|??|French, Middle (ca.1400-1600)|??|??|??
fro|??|French, Old (842-ca.1400)|??|??|??
fur|??|Friulian|??|??|??
car|??|Galibi Carib|??|??|??
gay|??|Gayo|??|??|??
gaa|??|Ga|??|??|??
gba|??|Gbaya|??|??|??
gez|??|Geez|??|??|??
gmh|??|German, Middle High (ca.1050-1500)|??|??|??
goh|??|German, Old High (ca.750-1050)|??|??|??
gem|??|Germanic languages|??|??|??
gil|??|Gilbertese|??|??|??
gon|??|Gondi|??|??|??
gor|??|Gorontalo|??|??|??
got|??|Gothic|??|??|??
grb|??|Grebo|??|??|??
grc|??|Greek, Ancient (to 1453)|??|??|??
gwi|??|Gwich'in|??|??|??
hai|??|Haida|??|??|??
haw|??|Hawaiian|??|??|??
hil|??|Hiligaynon|??|??|??
him|??|Himachali languages; Western Pahari languages|??|??|??
hit|??|Hittite|??|??|??
hup|??|Hupa|??|??|??
iba|??|Iban|??|??|??
ijo|??|Ijo languages|??|??|??
ilo|??|Iloko|??|??|??
smn|??|Inari Sami|??|??|??
inc|??|Indic languages|??|??|??
ine|??|Indo-European languages|??|??|??
inh|??|Ingush|??|??|??
ira|??|Iranian languages|??|??|??
mga|??|Irish, Middle (900-1200)|??|??|??
sga|??|Irish, Old (to 900)|??|??|??
iro|??|Iroquoian languages|??|??|??
jrb|??|Judeo-Arabic|??|??|??
jpr|??|Judeo-Persian|??|??|??
kbd|??|Kabardian|??|??|??
kab|??|Kabyle|??|??|??
kac|??|Kachin; Jingpho|??|??|??
xal|??|Kalmyk; Oirat|??|??|??
kam|??|Kamba|??|??|??
kaa|??|Kara-Kalpak|??|??|??
krc|??|Karachay-Balkar|??|??|??
krl|??|Karelian|??|??|??
kar|??|Karen languages|??|??|??
csb|??|Kashubian|??|??|??
kaw|??|Kawi|??|??|??
kha|??|Khasi|??|??|??
khi|??|Khoisan languages|??|??|??
kho|??|Khotanese; Sakan|??|??|??
kmb|??|Kimbundu|??|??|??
tlh|??|Klingon; tlhIngan-Hol|??|??|??
kok|??|Konkani|??|??|??
kos|??|Kosraean|??|??|??
kpe|??|Kpelle|??|??|??
kro|??|Kru languages|??|??|??
kum|??|Kumyk|??|??|??
kru|??|Kurukh|??|??|??
kut|??|Kutenai|??|??|??
lad|??|Ladino|??|??|??
lah|??|Lahnda|??|??|??
lam|??|Lamba|??|??|??
day|??|Land Dayak languages|??|??|??
lez|??|Lezghian|??|??|??
jbo|??|Lojban|??|??|??
nds|??|Low German; Low Saxon; German, Low; Saxon, Low|??|??|??
dsb|??|Lower Sorbian|??|??|??
loz|??|Lozi|??|??|??
lua|??|Luba-Lulua|??|??|??
lui|??|Luiseno|??|??|??
smj|??|Lule Sami|??|??|??
lun|??|Lunda|??|??|??
luo|??|Luo (Kenya and Tanzania)|??|??|??
lus|??|Lushai|??|??|??
mad|??|Madurese|??|??|??
mag|??|Magahi|??|??|??
mai|??|Maithili|??|??|??
mak|??|Makasar|??|??|??
mnc|??|Manchu|??|??|??
mdr|??|Mandar|??|??|??
man|??|Mandingo|??|??|??
mni|??|Manipuri|??|??|??
mno|??|Manobo languages|??|??|??
arn|??|Mapudungun; Mapuche|??|??|??
chm|??|Mari|??|??|??
mwr|??|Marwari|??|??|??
mas|??|Masai|??|??|??
myn|??|Mayan languages|??|??|??
men|??|Mende|??|??|??
mic|??|Mi'kmaq; Micmac|??|??|??
min|??|Minangkabau|??|??|??
mwl|??|Mirandese|??|??|??
moh|??|Mohawk|??|??|??
mdf|??|Moksha|??|??|??
mkh|??|Mon-Khmer languages|??|??|??
lol|??|Mongo|??|??|??
cnr|??|Montenegrin|??|??|??
mos|??|Mossi|??|??|??
mul|??|Multiple languages|??|??|??
mun|??|Munda languages|??|??|??
nqo|??|N'Ko|??|??|??
nah|??|Nahuatl languages|??|??|??
nap|??|Neapolitan|??|??|??
new|??|Nepal Bhasa; Newari|??|??|??
nia|??|Nias|??|??|??
nic|??|Niger-Kordofanian languages|??|??|??
ssa|??|Nilo-Saharan languages|??|??|??
niu|??|Niuean|??|??|??
zxx|??|No linguistic content; Not applicable|??|??|??
nog|??|Nogai|??|??|??
non|??|Norse, Old|??|??|??
nai|??|North American Indian languages|??|??|??
frr|??|Northern Frisian|??|??|??
nub|??|Nubian languages|??|??|??
nym|??|Nyamwezi|??|??|??
nyn|??|Nyankole|??|??|??
nyo|??|Nyoro|??|??|??
nzi|??|Nzima|??|??|??
arc|??|Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)|??|??|??
osa|??|Osage|??|??|??
oto|??|Otomian languages|??|??|??
pal|??|Pahlavi|??|??|??
pau|??|Palauan|??|??|??
pam|??|Pampanga; Kapampangan|??|??|??
pag|??|Pangasinan|??|??|??
pap|??|Papiamento|??|??|??
paa|??|Papuan languages|??|??|??
nso|??|Pedi; Sepedi; Northern Sotho|??|??|??
peo|??|Persian, Old (ca.600-400 B.C.)|??|??|??
phi|??|Philippine languages|??|??|??
phn|??|Phoenician|??|??|??
pon|??|Pohnpeian|??|??|??
pra|??|Prakrit languages|??|??|??
pro|??|Provençal, Old (to 1500); Occitan, Old (to 1500)|??|??|??
raj|??|Rajasthani|??|??|??
rap|??|Rapanui|??|??|??
rar|??|Rarotongan; Cook Islands Maori|??|??|??
qaa-qtz|??|Reserved for local use|??|??|??
roa|??|Romance languages|??|??|??
rom|??|Romany|??|??|??
sal|??|Salishan languages|??|??|??
sam|??|Samaritan Aramaic|??|??|??
smi|??|Sami languages|??|??|??
sad|??|Sandawe|??|??|??
sat|??|Santali|??|??|??
sas|??|Sasak|??|??|??
sco|??|Scots|??|??|??
sel|??|Selkup|??|??|??
sem|??|Semitic languages|??|??|??
srr|??|Serer|??|??|??
shn|??|Shan|??|??|??
scn|??|Sicilian|??|??|??
sid|??|Sidamo|??|??|??
sgn|??|Sign Languages|??|??|??
bla|??|Siksika|??|??|??
sit|??|Sino-Tibetan languages|??|??|??
sio|??|Siouan languages|??|??|??
sms|??|Skolt Sami|??|??|??
den|??|Slave (Athapascan)|??|??|??
sla|??|Slavic languages|??|??|??
sog|??|Sogdian|??|??|??
son|??|Songhai languages|??|??|??
snk|??|Soninke|??|??|??
wen|??|Sorbian languages|??|??|??
sai|??|South American Indian languages|??|??|??
alt|??|Southern Altai|??|??|??
sma|??|Southern Sami|??|??|??
srn|??|Sranan Tongo|??|??|??
zgh|??|Standard Moroccan Tamazight|??|??|??
suk|??|Sukuma|??|??|??
sux|??|Sumerian|??|??|??
sus|??|Susu|??|??|??
gsw|??|Swiss German; Alemannic; Alsatian|??|??|??
tai|??|Tai languages|??|??|??
tmh|??|Tamashek|??|??|??
ter|??|Tereno|??|??|??
tet|??|Tetum|??|??|??
tig|??|Tigre|??|??|??
tem|??|Timne|??|??|??
tiv|??|Tiv|??|??|??
tli|??|Tlingit|??|??|??
tpi|??|Tok Pisin|??|??|??
tkl|??|Tokelau|??|??|??
tog|??|Tonga (Nyasa)|??|??|??
tsi|??|Tsimshian|??|??|??
tum|??|Tumbuka|??|??|??
tup|??|Tupi languages|??|??|??
ota|??|Turkish, Ottoman (1500-1928)|??|??|??
tvl|??|Tuvalu|??|??|??
tyv|??|Tuvinian|??|??|??
udm|??|Udmurt|??|??|??
uga|??|Ugaritic|??|??|??
umb|??|Umbundu|??|??|??
mis|??|Uncoded languages|??|??|??
und|??|Undetermined|??|??|??
hsb|??|Upper Sorbian|??|??|??
vai|??|Vai|??|??|??
vot|??|Votic|??|??|??
wak|??|Wakashan languages|??|??|??
war|??|Waray|??|??|??
was|??|Washo|??|??|??
wal|??|Wolaitta; Wolaytta|??|??|??
sah|??|Yakut|??|??|??
yao|??|Yao|??|??|??
yap|??|Yapese|??|??|??
ypk|??|Yupik languages|??|??|??
znd|??|Zande languages|??|??|??
zap|??|Zapotec|??|??|??
zza|??|Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki|??|??|??
zen|??|Zenaga|??|??|??
zun|??|Zuni|??|??|??
