heb|he|Hebrew|Hebrew|17000000|0.271|1.06
hin|hi|Hindi|Hindi|24000000|0.383|1.21
hmo|ho|Hiri Motu|??|??|??|??
hrv|hr|Croatian|??|??|??|??
hat|ht|Haitian; Haitian Creole|Haitian Creole|200000|0.003|0.33
hun|hu|Hungarian|Hungarian|39000000|0.622|1.48
arm|hy|Armenian|Armenian|2400000|0.038|0.65
her|hz|Herero|??|??|??|??
ina|ia|Interlingua (International Auxiliary Language Association)|??|??|??|??
ind|id|Indonesian|Indonesian|69000000|1.101|1.80
ile|ie|Interlingue; Occidental|??|??|??|??
ibo|ig|Igbo|Igbo|90000|0.001|0.24
iii|ii|Sichuan Yi; Nuosu|??|??|??|??
ipk|ik|Inupiaq|??|??|??|??
ido|io|Ido|??|??|??|??
ice|is|Icelandic|Icelandic|2600000|0.041|0.62
ita|it|Italian|Italian|162000000|2.584|2.43
iku|iu|Inuktitut|??|??|??|??
jpn|ja|Japanese|Japanese|164000000|2.616|1.92
jav|jv|Javanese|Javanese|300000|0.005|0.42
geo|ka|Georgian|Georgian|2500000|0.040|0.64
kon|kg|Kongo|??|??|??|??
kik|ki|Kikuyu; Gikuyu|??|??|??|??
kua|kj|Kuanyama; Kwanyama|??|??|??|??
kaz|kk|Kazakh|Kazakh|3100000|0.049|0.65
kal|kl|Kalaallisut; Greenlandic|??|??|??|??
khm|km|Central Khmer|Khmer|600000|0.010|0.46
kan|kn|Kannada|Kannada|1100000|0.018|0.51
kor|ko|Korean|Korean|26000000|0.415|1.14
kau|kr|Kanuri|??|??|??|??
kas|ks|Kashmiri|??|??|??|??
kur|ku|Kurdish|Kurdish|400000|0.006|0.34
kom|kv|Komi|??|??|??|??
cor|kw|Cornish|??|??|??|??
kir|ky|Kirghiz; Kyrgyz|Kyrgyz|1000000|0.016|0.50
lat|la|Latin|Latin|1300000|0.021|0.58
ltz|lb|Luxembourgish; Letzeburgesch|Luxembourgish|1000000|0.016|0.68
lug|lg|Ganda|??|??|??|??
lim|li|Limburgan; Limburger; Limburgish|??|??|??|??
lin|ln|Lingala|??|??|??|??
lao|lo|Lao|Lao|100000|0.002|0.28
lit|lt|Lithuanian|Lithuanian|11000000|0.175|1.04
lub|lu|Luba-Katanga|??|??|??|??
lav|lv|Latvian|Latvian|7000000|0.112|0.87
mlg|mg|Malagasy|Malagasy|200000|0.003|0.36
mah|mh|Marshallese|??|??|??|??
mao|mi|Maori|Maori|100000|0.002|0.25
mac|mk|Macedonian|Macedonian|1800000|0.029|0.62
mal|ml|Malayalam|Malayalam|1800000|0.029|0.62
mon|mn|Mongolian|Mongolian|2700000|0.043|0.62
mar|mr|Marathi|Marathi|14000000|0.223|0.93
may|ms|Malay|Malay|13000000|0.207|1.09
mlt|mt|Maltese|Maltese|5200000|0.083|0.64
bur|my|Burmese|Burmese|900000|0.014|0.47
nau|na|Nauru|??|??|??|??
nob|nb|Bokmål, Norwegian; Norwegian Bokmål|??|??|??|??
nde|nd|Ndebele, North; North Ndebele|??|??|??|??
nep|ne|Nepali|Nepali|3200000|0.051|0.69
ndo|ng|Ndonga|??|??|??|??
dut|nl|Dutch; Flemish|Dutch|73000000|1.165|1.98
nno|nn|Norwegian Nynorsk; Nynorsk, Norwegian|??|??|??|??
nor|no|Norwegian|Norwegian|27000000|0.431|1.33
nbl|nr|Ndebele, South; South Ndebele|??|??|??|??
nav|nv|Navajo; Navaho|??|??|??|??
nya|ny|Chichewa; Chewa; Nyanja|Chichewa|100000|0.002|0.29
oci|oc|Occitan (post 1500)|??|??|??|??
oji|oj|Ojibwa|??|??|??|??
orm|om|Oromo|??|??|??|??
ori|or|Oriya|??|??|??|??
oss|os|Ossetian; Ossetic|??|??|??|??
pan|pa|Panjabi; Punjabi|Punjabi|600000|0.010|0.37
pli|pi|Pali|??|??|??|??
pol|pl|Polish|Polish|130000000|2.074|2.15
pus|ps|Pushto; Pashto|Pashto|400000|0.006|0.36
por|pt|Portuguese|Portuguese|146000000|2.329|2.36
que|qu|Quechua|??|??|??|??
roh|rm|Romansh|??|??|??|??
run|rn|Rundi|??|??|??|??
rum|ro|Romanian; Moldavian; Moldovan|Romanian|52000000|0.830|1.58
rus|ru|Russian|Russian|713000000|11.374|3.71
kin|rw|Kinyarwanda|??|??|??|??
san|sa|Sanskrit|??|??|??|??
srd|sc|Sardinian|??|??|??|??
snd|sd|Sindhi|Sindhi|1600000|0.026|0.45
sme|se|Northern Sami|??|??|??|??
sag|sg|Sango|??|??|??|??
sin|si|Sinhala; Sinhalese|Sinhala|800000|0.013|0.41
slo|sk|Slovak|Slovak|18000000|0.287|1.19
slv|sl|Slovenian|Slovenian|8800000|0.140|0.95
smo|sm|Samoan|Samoan|90000|0.001|0.25
sna|sn|Shona|Shona|200000|0.003|0.35
som|so|Somali|Somali|1400000|0.022|0.48
alb|sq|Albanian|Albanian|4000000|0.064|0.76
srp|sr|Serbian|Serbian|4300000|0.069|0.72
ssw|ss|Swati|??|??|??|??
sot|st|Sotho, Southern|Sotho|80000|0.001|0.22
sun|su|Sundanese|Sundanese|100000|0.002|0.34
swe|sv|Swedish|Swedish|45000000|0.718|1.61
swa|sw|Swahili|Swahili|1000000|0.016|0.50
tam|ta|Tamil|Tamil|3400000|0.054|0.73
tel|te|Telugu|Telugu|1300000|0.021|0.52
tgk|tg|Tajik|Tajik|1400000|0.022|0.54
tha|th|Thai|Thai|11000000|0.175|1.14
tir|ti|Tigrinya|??|??|??|??
tuk|tk|Turkmen|??|??|??|??
tgl|tl|Tagalog|??|??|??|??
tsn|tn|Tswana|??|??|??|??
ton|to|Tonga (Tonga Islands)|??|??|??|??
tur|tr|Turkish|Turkish|71000000|1.133|1.93
tso|ts|Tsonga|??|??|??|??
tat|tt|Tatar|??|??|??|??
twi|tw|Twi|??|??|??|??
tah|ty|Tahitian|??|??|??|??
uig|ug|Uighur; Uyghur|??|??|??|??
ukr|uk|Ukrainian|Ukrainian|41000000|0.654|1.51
urd|ur|Urdu|Urdu|2400000|0.038|0.61
uzb|uz|Uzbek|Uzbek|900000|0.014|0.46
ven|ve|Venda|??|??|??|??
vie|vi|Vietnamese|Vietnamese|116000000|1.850|1.87
vol|vo|Volapük|??|??|??|??
wln|wa|Walloon|??|??|??|??
wol|wo|Wolof|??|??|??|??
xho|xh|Xhosa|Xhosa|60000|0.001|0.22
yid|yi|Yiddish|Yiddish|300000|0.005|0.28
yor|yo|Yoruba|Yoruba|50000|0.001|0.20
zha|za|Zhuang; Chuang|??|??|??|??
chi|zh|Chinese|Chinese|39000000|0.622|1.67
zul|zu|Zulu|Zulu|200000|0.003|0.42
ace|??|Achinese|??|??|??|??
ach|??|Acoli|??|??|??|??
ada|??|Adangme|??|??|??|??
ady|??|Adyghe; Adygei|??|??|??|??
afh|??|Afrihili|??|??|??|??
afa|??|Afro-Asiatic languages|??|??|??|??
ain|??|Ainu|??|??|??|??
akk|??|Akkadian|??|??|??|??
ale|??|Aleut|??|??|??|??
alg|??|Algonquian languages|??|??|??|??
tut|??|Altaic languages|??|??|??|??
anp|??|Angika|??|??|??|??
apa|??|Apache languages|??|??|??|??
arp|??|Arapaho|??|??|??|??
arw|??|Arawak|??|??|??|??
rup|??|Aromanian; Arumanian; Macedo-Romanian|??|??|??|??
art|??|Artificial languages|??|??|??|??
ast|??|Asturian; Bable; Leonese; Asturleonese|??|??|??|??
ath|??|Athapascan languages|??|??|??|??
aus|??|Australian languages|??|??|??|??
map|??|Austronesian languages|??|??|??|??
awa|??|Awadhi|??|??|??|??
ban|??|Balinese|??|??|??|??
bat|??|Baltic languages|??|??|??|??
bal|??|Baluchi|??|??|??|??
bai|??|Bamileke languages|??|??|??|??
bad|??|Banda languages|??|??|??|??
bnt|??|Bantu languages|??|??|??|??
bas|??|Basa|??|??|??|??
btk|??|Batak languages|??|??|??|??
bej|??|Beja; Bedawiyet|??|??|??|??
bem|??|Bemba|??|??|??|??
ber|??|Berber languages|??|??|??|??
bho|??|Bhojpuri|??|??|??|??
bik|??|Bikol|??|??|??|??
bin|??|Bini; Edo|??|??|??|??
byn|??|Blin; Bilin|??|??|??|??
zbl|??|Blissymbols; Blissymbolics; Bliss|??|??|??|??
bra|??|Braj|??|??|??|??
bug|??|Buginese|??|??|??|??
bua|??|Buriat|??|??|??|??
cad|??|Caddo|??|??|??|??
cau|??|Caucasian languages|??|??|??|??
ceb|??|Cebuano|Cebuano|200000|0.003|0.36
cel|??|Celtic languages|??|??|??|??
cai|??|Central American Indian languages|??|??|??|??
chg|??|Chagatai|??|??|??|??
cmc|??|Chamic languages|??|??|??|??
chr|??|Cherokee|??|??|??|??
chy|??|Cheyenne|??|??|??|??
chb|??|Chibcha|??|??|??|??
chn|??|Chinook jargon|??|??|??|??
chp|??|Chipewyan; Dene Suline|??|??|??|??
cho|??|Choctaw|??|??|??|??
chk|??|Chuukese|??|??|??|??
nwc|??|Classical Newari; Old Newari; Classical Nepal Bhasa|??|??|??|??
syc|??|Classical Syriac|??|??|??|??
cop|??|Coptic|??|??|??|??
mus|??|Creek|??|??|??|??
cpe|??|Creoles and pidgins, English based|??|??|??|??
cpf|??|Creoles and pidgins, French-based|??|??|??|??
cpp|??|Creoles and pidgins, Portuguese-based|??|??|??|??
crp|??|Creoles and pidgins|??|??|??|??
crh|??|Crimean Tatar; Crimean Turkish|??|??|??|??
cus|??|Cushitic languages|??|??|??|??
dak|??|Dakota|??|??|??|??
dar|??|Dargwa|??|??|??|??
del|??|Delaware|??|??|??|??
din|??|Dinka|??|??|??|??
dgr|??|Dogrib|??|??|??|??
doi|??|Dogri|??|??|??|??
dra|??|Dravidian languages|??|??|??|??
dua|??|Duala|??|??|??|??
dum|??|Dutch, Middle (ca.1050-1350)|??|??|??|??
dyu|??|Dyula|??|??|??|??
frs|??|Eastern Frisian|??|??|??|??
efi|??|Efik|??|??|??|??
egy|??|Egyptian (Ancient)|??|??|??|??
eka|??|Ekajuk|??|??|??|??
elx|??|Elamite|??|??|??|??
enm|??|English, Middle (1100-1500)|??|??|??|??
ang|??|English, Old (ca.450-1100)|??|??|??|??
myv|??|Erzya|??|??|??|??
ewo|??|Ewondo|??|??|??|??
fan|??|Fang|??|??|??|??
fat|??|Fanti|??|??|??|??
fil|??|Filipino; Pilipino|Filipino|2100000|0.034|0.62
fiu|??|Finno-Ugrian languages|??|??|??|??
fon|??|Fon|??|??|??|??
frm|??|French, Middle (ca.1400-1600)|??|??|??|??
fro|??|French, Old (842-ca.1400)|??|??|??|??
fur|??|Friulian|??|??|??|??
car|??|Galibi Carib|??|??|??|??
gay|??|Gayo|??|??|??|??
gaa|??|Ga|??|??|??|??
gba|??|Gbaya|??|??|??|??
gez|??|Geez|??|??|??|??
gmh|??|German, Middle High (ca.1050-1500)|??|??|??|??
goh|??|German, Old High (ca.750-1050)|??|??|??|??
gem|??|Germanic languages|??|??|??|??
gil|??|Gilbertese|??|??|??|??
gon|??|Gondi|??|??|??|??
gor|??|Gorontalo|??|??|??|??
got|??|Gothic|??|??|??|??
grb|??|Grebo|??|??|??|??
grc|??|Greek, Ancient (to 1453)|??|??|??|??
gwi|??|Gwich'in|??|??|??|??
hai|??|Haida|??|??|??|??
haw|??|Hawaiian|Hawaiian|90000|0.001|0.24
hil|??|Hiligaynon|??|??|??|??
him|??|Himachali languages; Western Pahari languages|??|??|??|??
hit|??|Hittite|??|??|??|??
hmn|??|Hmong; Mong|Hmong|200000|0.003|0.34
hup|??|Hupa|??|??|??|??
iba|??|Iban|??|??|??|??
ijo|??|Ijo languages|??|??|??|??
ilo|??|Iloko|??|??|??|??
smn|??|Inari Sami|??|??|??|??
inc|??|Indic languages|??|??|??|??
ine|??|Indo-European languages|??|??|??|??
inh|??|Ingush|??|??|??|??
ira|??|Iranian languages|??|??|??|??
mga|??|Irish, Middle (900-1200)|??|??|??|??
sga|??|Irish, Old (to 900)|??|??|??|??
iro|??|Iroquoian languages|??|??|??|??
jrb|??|Judeo-Arabic|??|??|??|??
jpr|??|Judeo-Persian|??|??|??|??
kbd|??|Kabardian|??|??|??|??
kab|??|Kabyle|??|??|??|??
kac|??|Kachin; Jingpho|??|??|??|??
xal|??|Kalmyk; Oirat|??|??|??|??
kam|??|Kamba|??|??|??|??
kaa|??|Kara-Kalpak|??|??|??|??
krc|??|Karachay-Balkar|??|??|??|??
krl|??|Karelian|??|??|??|??
kar|??|Karen languages|??|??|??|??
csb|??|Kashubian|??|??|??|??
kaw|??|Kawi|??|??|??|??
kha|??|Khasi|??|??|??|??
khi|??|Khoisan languages|??|??|??|??
kho|??|Khotanese; Sakan|??|??|??|??
kmb|??|Kimbundu|??|??|??|??
tlh|??|Klingon; tlhIngan-Hol|??|??|??|??
kok|??|Konkani|??|??|??|??
kos|??|Kosraean|??|??|??|??
kpe|??|Kpelle|??|??|??|??
kro|??|Kru languages|??|??|??|??
kum|??|Kumyk|??|??|??|??
kru|??|Kurukh|??|??|??|??
kut|??|Kutenai|??|??|??|??
lad|??|Ladino|??|??|??|??
lah|??|Lahnda|??|??|??|??
lam|??|Lamba|??|??|??|??
day|??|Land Dayak languages|??|??|??|??
lez|??|Lezghian|??|??|??|??
jbo|??|Lojban|??|??|??|??
nds|??|Low German; Low Saxon; German, Low; Saxon, Low|??|??|??|??
dsb|??|Lower Sorbian|??|??|??|??
loz|??|Lozi|??|??|??|??
lua|??|Luba-Lulua|??|??|??|??
lui|??|Luiseno|??|??|??|??
smj|??|Lule Sami|??|??|??|??
lun|??|Lunda|??|??|??|??
luo|??|Luo (Kenya and Tanzania)|??|??|??|??
lus|??|Lushai|??|??|??|??
mad|??|Madurese|??|??|??|??
mag|??|Magahi|??|??|??|??
mai|??|Maithili|??|??|??|??
mak|??|Makasar|??|??|??|??
mnc|??|Manchu|??|??|??|??
mdr|??|Mandar|??|??|??|??
man|??|Mandingo|??|??|??|??
mni|??|Manipuri|??|??|??|??
mno|??|Manobo languages|??|??|??|??
arn|??|Mapudungun; Mapuche|??|??|??|??
chm|??|Mari|??|??|??|??
mwr|??|Marwari|??|??|??|??
mas|??|Masai|??|??|??|??
myn|??|Mayan languages|??|??|??|??
men|??|Mende|??|??|??|??
mic|??|Mi'kmaq; Micmac|??|??|??|??
min|??|Minangkabau|??|??|??|??
mwl|??|Mirandese|??|??|??|??
moh|??|Mohawk|??|??|??|??
mdf|??|Moksha|??|??|??|??
mkh|??|Mon-Khmer languages|??|??|??|??
lol|??|Mongo|??|??|??|??
cnr|??|Montenegrin|??|??|??|??
mos|??|Mossi|??|??|??|??
mul|??|Multiple languages|??|??|??|??
mun|??|Munda languages|??|??|??|??
nqo|??|N'Ko|??|??|??|??
nah|??|Nahuatl languages|??|??|??|??
nap|??|Neapolitan|??|??|??|??
new|??|Nepal Bhasa; Newari|??|??|??|??
nia|??|Nias|??|??|??|??
nic|??|Niger-Kordofanian languages|??|??|??|??
ssa|??|Nilo-Saharan languages|??|??|??|??
niu|??|Niuean|??|??|??|??
zxx|??|No linguistic content; Not applicable|??|??|??|??
nog|??|Nogai|??|??|??|??
non|??|Norse, Old|??|??|??|??
nai|??|North American Indian languages|??|??|??|??
frr|??|Northern Frisian|??|??|??|??
nub|??|Nubian languages|??|??|??|??
nym|??|Nyamwezi|??|??|??|??
nyn|??|Nyankole|??|??|??|??
nyo|??|Nyoro|??|??|??|??
nzi|??|Nzima|??|??|??|??
arc|??|Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)|??|??|??|??
osa|??|Osage|??|??|??|??
oto|??|Otomian languages|??|??|??|??
pal|??|Pahlavi|??|??|??|??
pau|??|Palauan|??|??|??|??
pam|??|Pampanga; Kapampangan|??|??|??|??
pag|??|Pangasinan|??|??|??|??
pap|??|Papiamento|??|??|??|??
paa|??|Papuan languages|??|??|??|??
nso|??|Pedi; Sepedi; Northern Sotho|??|??|??|??
peo|??|Persian, Old (ca.600-400 B.C.)|??|??|??|??
phi|??|Philippine languages|??|??|??|??
phn|??|Phoenician|??|??|??|??
pon|??|Pohnpeian|??|??|??|??
pra|??|Prakrit languages|??|??|??|??
pro|??|Provençal, Old (to 1500); Occitan, Old (to 1500)|??|??|??|??
raj|??|Rajasthani|??|??|??|??
rap|??|Rapanui|??|??|??|??
rar|??|Rarotongan; Cook Islands Maori|??|??|??|??
qaa-qtz|??|Reserved for local use|??|??|??|??
roa|??|Romance languages|??|??|??|??
rom|??|Romany|??|??|??|??
sal|??|Salishan languages|??|??|??|??
sam|??|Samaritan Aramaic|??|??|??|??
smi|??|Sami languages|??|??|??|??
sad|??|Sandawe|??|??|??|??
sat|??|Santali|??|??|??|??
sas|??|Sasak|??|??|??|??
sco|??|Scots|??|??|??|??
sel|??|Selkup|??|??|??|??
sem|??|Semitic languages|??|??|??|??
srr|??|Serer|??|??|??|??
shn|??|Shan|??|??|??|??
scn|??|Sicilian|??|??|??|??
sid|??|Sidamo|??|??|??|??
sgn|??|Sign Languages|??|??|??|??
bla|??|Siksika|??|??|??|??
sit|??|Sino-Tibetan languages|??|??|??|??
sio|??|Siouan languages|??|??|??|??
sms|??|Skolt Sami|??|??|??|??
den|??|Slave (Athapascan)|??|??|??|??
sla|??|Slavic languages|??|??|??|??
sog|??|Sogdian|??|??|??|??
son|??|Songhai languages|??|??|??|??
snk|??|Soninke|??|??|??|??
wen|??|Sorbian languages|??|??|??|??
sai|??|South American Indian languages|??|??|??|??
alt|??|Southern Altai|??|??|??|??
sma|??|Southern Sami|??|??|??|??
srn|??|Sranan Tongo|??|??|??|??
zgh|??|Standard Moroccan Tamazight|??|??|??|??
suk|??|Sukuma|??|??|??|??
sux|??|Sumerian|??|??|??|??
sus|??|Susu|??|??|??|??
gsw|??|Swiss German; Alemannic; Alsatian|??|??|??|??
syr|??|Syriac|??|??|??|??
tai|??|Tai languages|??|??|??|??
tmh|??|Tamashek|??|??|??|??
ter|??|Tereno|??|??|??|??
tet|??|Tetum|??|??|??|??
tig|??|Tigre|??|??|??|??
tem|??|Timne|??|??|??|??
tiv|??|Tiv|??|??|??|??
tli|??|Tlingit|??|??|??|??
tpi|??|Tok Pisin|??|??|??|??
tkl|??|Tokelau|??|??|??|??
tog|??|Tonga (Nyasa)|??|??|??|??
tsi|??|Tsimshian|??|??|??|??
tum|??|Tumbuka|??|??|??|??
tup|??|Tupi languages|??|??|??|??
ota|??|Turkish, Ottoman (1500-1928)|??|??|??|??
tvl|??|Tuvalu|??|??|??|??
tyv|??|Tuvinian|??|??|??|??
udm|??|Udmurt|??|??|??|??
uga|??|Ugaritic|??|??|??|??
umb|??|Umbundu|??|??|??|??
mis|??|Uncoded languages|??|??|??|??
und|??|Undetermined|??|??|??|??
hsb|??|Upper Sorbian|??|??|??|??
vai|??|Vai|??|??|??|??
vot|??|Votic|??|??|??|??
wak|??|Wakashan languages|??|??|??|??
war|??|Waray|??|??|??|??
was|??|Washo|??|??|??|??
wal|??|Wolaitta; Wolaytta|??|??|??|??
sah|??|Yakut|??|??|??|??
yao|??|Yao|??|??|??|??
yap|??|Yapese|??|??|??|??
ypk|??|Yupik languages|??|??|??|??
znd|??|Zande languages|??|??|??|??
zap|??|Zapotec|??|??|??|??
zza|??|Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki|??|??|??|??
zen|??|Zenaga|??|??|??|??
zun|??|Zuni|??|??|??|??
